"sink_loc","source_loc","block_name","source_func"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|121:34:121:34","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|97:33:97:43","entry node of functio ...       }","imgTap"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|121:34:121:34","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|98:44:98:46","guard: e.a is true","imgTap"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|121:34:121:34","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|110:51:110:61","guard: n.currentTarget is true","linkTap"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|121:34:121:34","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|110:92:110:93","guard: n.currentTarget is false","linkTap"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|121:34:121:34","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|110:100:110:106","e = n.c ... i] : {}","linkTap"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|121:34:121:34","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js|110:118:110:123","o = e.attrs || n","linkTap"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/main.js|99:34:99:108","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/main.js|97:33:97:38","entry node of functio ...       }","authAsk"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/main.js|108:38:108:104","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/main.js|104:37:106:29","guard: ""1"" == t.data.result is true","authResult"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/main.js|108:38:108:104","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/main.js|105:38:105:50","guard: ""1"" == t.data.result is true","authResult"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/main.js|108:38:108:104","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/main.js|105:38:105:43","guard: ""1"" == t.data.result is true","authResult"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friend.js|132:34:132:121","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friend.js|130:33:130:46","entry node of functio ...       }","toListItem"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friend.js|132:34:132:121","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friend.js|130:33:130:41","entry node of functio ...       }","toListItem"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friendDetail/friendDetail.js|138:34:138:97","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friendDetail/friendDetail.js|134:33:136:25","entry node of functio ...       }","toFriendAuth"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friendDetail/friendDetail.js|138:34:138:97","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friendDetail/friendDetail.js|135:34:135:55","entry node of functio ...       }","toFriendAuth"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friendDetail/friendDetail.js|138:34:138:97","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friendDetail/friendDetail.js|135:34:135:51","entry node of functio ...       }","toFriendAuth"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friendDetail/friendDetail.js|138:34:138:97","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friendDetail/friendDetail.js|135:34:135:44","entry node of functio ...       }","toFriendAuth"
